cooler_id,fail_prob,prob_may_2025
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,0.4096,0.4096
000c011eca9990bc07e6577a13dc0ad3bc0bb2e5b628f4e3469120f7efd2ed71,0.0001,0.0001
0016ec5ff0bab59a840bfb35f19432270b06e821b6807f5c822909f42d36feba,0.0002,0.0002
00190192bd70e98a2399c87c883f9abd122ddf1ea915157bae0955be02aad98b,0.0007,0.0007
001eacd5c959eff51b42e8855473e89be89b46e8a5d0d80dfc59363fcedf90ac,0.0000,0.0000
0025f7d0ed62936e9107af28a61d68a8a34606d1690dab950662972394def868,0.0034,0.0034
0026be8ea32cc11fe427ed626def3096f35d0fbdb4da1cc99aa9ef0ce79a1b75,0.0001,0.0001
002cf495266f8062dd3bc307c17498bbcdbab860367fa893e7fc1cea49334b1b,0.0043,0.0043
00333a0aaa7e706c1c0dcf8571b415ebb00392bedbfa25c9e354de2e12d603e4,0.0414,0.0414
0043c2d173af9b2e98f68257d10a9cafd5c8d023eb0e918940a3b1a0397af383,0.0154,0.0154
004af01adc073bfb698297f5f94c088be29aac2936689feaf5864bd8fe12d6a9,0.0002,0.0002
0051dfc3e58be7a36428e6f842dd071a8dbefe5754b016d806dfe2eb6dab67d2,0.0003,0.0003
005241ae2ff948115acb4556ffb066ee3a37aa94f61d2f29253fb0ac6326b2c8,0.0007,0.0007
00751b2353a314abe35bf55c36801f73b5e5c63ffe3ebe1409af3ed74335cbc7,0.0314,0.0314
00b0cc67da55875210fdca5d8751f32712faea23506bb4bc38d4894710246964,0.0001,0.0001
00c548127cb00c3ec7157959cb5ffdf33de724f289b96e5ccb47df82f8bffe77,0.0010,0.0010
00d544621891ec2ed4f01052df526d069177a92e7ed2e948a4a2e942e12a45a6,0.0023,0.0023
00d73b31d208a04d056d23eca3e77e6a0eb4c317be98eba9a87a11dbc000dd34,0.0054,0.0054
00dfde7f4b45b5e702f747615653814a2c2d6795891ba949ec318513a94420be,0.0002,0.0002
00e618ce89a88aad100e86f7cb50fdc621e7c1f826f533e511cd2fe415391488,0.0122,0.0122
00e857e6dd3dc2b76861e208b60891e7be65585d0271981397b27837d10e5e61,0.0021,0.0021
0106fe51a41f53fe8995685d4ba3e90ee3037f608b2a458df6fbb5ea776999a6,0.0036,0.0036
0109ec162324ab2623250431f96826c9d3962315b01b9a35e03e63b958acf1cc,0.0009,0.0009
010cd3b696cbc72effbda7c54bc24c1a07239be3c8145f59b4f4308a4e873bef,0.0004,0.0004
010dd76f7f224b67c4b92f0f38a420878661971d0635af20c9c1587b75583a40,0.0394,0.0394
011151df5ec4d08c526f6854788bdf22f343d045f32a9cdd46ba47cabc70dfd4,0.0023,0.0023
011350dc189a41185075f2cf1df6d260113aaa6db8dab3b1f7c9ae7008505d70,0.0124,0.0124
013c43081b1b086eb59f94a33aaee26ae81f85e9dbf48f5ff6338c45fb0de21a,0.0003,0.0003
0146a78deb30e6c5794d614cfc5d38a7c77de97242d418539cebad5226e8995d,0.0013,0.0013
0148c47aa03989416869c3b86bc86c8f5a8715a6f6f3059f7a163613a4f3fc65,0.0037,0.0037
014adbb14b5e216bb7e3fd60ff678df8a0165c408c954bc8633977bff531f4fc,0.0121,0.0121
015f1bca5a1362790e1c071a856512373cc4f9780a6e9a798da55a8154df86eb,0.0016,0.0016
01630c13351ea93e7a579de551be3f6492c82ab41983c4c16e08025d60b56968,0.0008,0.0008
01663e5cd0be73e8b42beccfffcd8f6fdfde769a04b4abb5fe4428e1fc59fd6e,0.0031,0.0031
016e21fc445f6a2f527eb2d23bd361fc0d1427c939d3226fd53140aaa43d3d8d,0.0001,0.0001
01860471d8b9b05916cc761bf49a4e1bb9a6201ced92cc2fde3d84e84196313c,0.0000,0.0000
0188335bd15b0e08ff5f3b8789cfe24619d4995c3a3d1155217222a26c824da9,0.0001,0.0001
01950f23d9fe47e893c9781d4e5a43f8a799faa9db7caca3403531d62f97c593,0.0001,0.0001
0197f074a1e047d0a37d0abd9403e11d1d67fb3637265ec1ebe86f7b9627d4b2,0.0001,0.0001
019ec10a06d217056e067269c396cdaf84d25e532c79ad637fcb4af02b485390,0.0000,0.0000
01a209dfc892bccc06798843000da0b5c2c5c636adb31ef82ae67199925643ea,0.0003,0.0003
01c58441c8a2bce1899366dfa664f62d82e2a307ec9a726573d492aa1fbfca57,0.0000,0.0000
01c788dde5ed4c12d9cf98eb672c70bab12515e58ef1cfadd1592d4b1cb19360,0.0054,0.0054
01d84a4d769ce0281bddb5183b47478a875e2d957729bf1fb1c10257b7301e0a,0.0012,0.0012
01ddea12f7bfcf4499c3c93a2494219d51f922d86e154c58d01fa2f624f7c55e,0.0000,0.0000
01e0321f94b5d3d807b4c5be019dd99c88b6a9e3109f1d3f0de8619946fc22dc,0.0114,0.0114
01fa415e6f6c4990d45f3004b7d50f09cd1ecc2be6f9d579dc5f8bb74facb584,0.0001,0.0001
020195cf7309e056fe12142d727e67deb7c123302a6fc10b549e2a27a2ff19f5,0.0002,0.0002
0205ddea174735a30cef761ea893a1e59429b6e5f5bbb67aaa7b3e3db53bf282,0.0024,0.0024
0209b831ca816fcebb1729c64c5dc3287c21e6a85d27ec8c87ad78b9e0dda095,0.0068,0.0068
020f67bc4bc52ce3928fbf76ee65ead1df33ba612c31ee0bc04fbefa7f427f6f,0.0214,0.0214
0226ce8da3541ef0e28a7c3167c8abe47c570f493a0bee07225562a3f69f1d2b,0.0005,0.0005
023842de01c074f8f09c455418a012076cd914c20e7a4766c197bc48be1d1de5,0.0011,0.0011
0238b2e366f7c002b314b31b1f68bcf31ed9d4a65c7da0f84571a673fda4bbb0,0.0000,0.0000
025608b544f60c0f399c43a653d3d4a7c9ef912f8f9d4de7386a2db1c4566640,0.0007,0.0007
026c27bea6c07c07d837557bc01d2475faa504cf9a4c81e0f5027399bfa382ab,0.0000,0.0000
026fe81d79711508eb4f3b0123dc6d133863fc3736e26480b5c1332472da2bf6,0.0000,0.0000
0274e5d0f9002a8a87ddf9941af93edeb663b6f1c0498d0e04400488b521bf51,0.0000,0.0000
027657f82b4152f276352fc8c3294002b4443616bf9d1812de60c4a670f2da78,0.0001,0.0001
0277d68bf9e921961ca7ededbb0c3227410267a92ad5a77e0fa5958d708c2258,0.0000,0.0000
0278799243f6a51e46ec863c93545f796f1394d7dc72d1f57a48d3571e292ec0,0.0002,0.0002
028371044c8c127511cf64d456d3dfe021a20ae05abf4d72e8526b0467ebf88a,0.0000,0.0000
028a11043734b4278a3f6a286096609c04e18276aa962a32c11a9ed9dadbdd28,0.0001,0.0001
02972ddc880f1fc827520f9550362c4e6d40ad8f3f78024d461197419dab0939,0.0019,0.0019
